CV i vs E,
V,µA
-0.389962,-0.0898198
-0.379962,-0.00344516
-0.369962,0.042236
-0.359962,0.0754955
-0.349962,0.0960187
-0.34004,0.115746
-0.33004,0.129846
-0.32004,0.142716
-0.31004,0.154126
-0.30004,0.161689
-0.29004,0.174101
-0.28004,0.183991
-0.27004,0.189546
-0.26004,0.200589
-0.25004,0.210317
-0.24004,0.216692
-0.23004,0.22199
-0.22004,0.23568
-0.21004,0.241869
-0.200118,0.247949
-0.190118,0.255097
-0.180118,0.262998
-0.170118,0.272874
-0.160118,0.280584
-0.150118,0.286759
-0.140118,0.295142
-0.130118,0.30311
-0.120118,0.312527
-0.110118,0.319637
-0.100118,0.328225
-0.0901175,0.335969
-0.0801175,0.341905
-0.0701174,0.353755
-0.0601955,0.359444
-0.0501955,0.377258
-0.0401954,0.381898
-0.0301954,0.398721
-0.0201954,0.407542
-0.0101953,0.417446
-0.000195275,0.430693
0.00980476,0.436343
0.0198048,0.443753
0.0298048,0.448345
0.0398049,0.454234
0.0498049,0.459761
0.059805,0.461177
0.069805,0.465049
0.079805,0.473542
0.0897269,0.475969
0.099727,0.486636
0.109727,0.494728
0.119727,0.500922
0.129727,0.510289
0.139727,0.524213
0.149727,0.533464
0.159727,0.546052
0.169727,0.559594
0.179727,0.572707
0.189727,0.585153
0.199727,0.602891
0.209727,0.618103
0.219727,0.634315
0.229649,0.652959
0.239649,0.667598
0.249649,0.685861
0.259649,0.706652
0.26965,0.722006
0.27965,0.745848
0.28965,0.768879
0.29965,0.793818
0.28965,0.509383
0.27965,0.348879
0.26965,0.243736
0.259649,0.167013
0.249649,0.106836
0.239649,0.0544789
0.229649,0.0154734
0.219727,-0.0192762
0.209727,-0.050409
0.199727,-0.0729731
0.189727,-0.0972966
0.179727,-0.114439
0.169727,-0.130113
0.159727,-0.147088
0.149727,-0.163401
0.139727,-0.174244
0.129727,-0.186184
0.119727,-0.191687
0.109727,-0.203293
0.099727,-0.212439
0.0897269,-0.220579
0.079805,-0.229519
0.069805,-0.235184
0.059805,-0.245198
0.0498049,-0.252646
0.0398049,-0.261315
0.0298048,-0.273102
0.0198048,-0.282482
0.00980476,-0.291794
-0.000195275,-0.299953
-0.0101953,-0.309843
-0.0201954,-0.321029
-0.0301954,-0.328316
-0.0401954,-0.334658
-0.0501955,-0.341519
-0.0601955,-0.341615
-0.0701174,-0.3482
-0.0801175,-0.348071
-0.0901175,-0.349587
-0.100118,-0.353474
-0.110118,-0.358385
-0.120118,-0.359477
-0.130118,-0.361752
-0.140118,-0.36867
-0.150118,-0.37218
-0.160118,-0.379046
-0.170118,-0.390209
-0.180118,-0.396484
-0.190118,-0.403098
-0.200118,-0.410198
-0.21004,-0.422215
-0.22004,-0.430721
-0.23004,-0.437049
-0.24004,-0.447897
-0.25004,-0.455903
-0.26004,-0.459184
-0.27004,-0.465898
-0.28004,-0.470304
-0.29004,-0.47686
-0.30004,-0.485467
-0.31004,-0.491385
-0.32004,-0.494661
-0.33004,-0.499124
-0.34004,-0.50518
-0.349962,-0.512721
-0.359962,-0.518634
-0.369962,-0.532224
-0.379962,-0.537946
