CV i vs E Scan 1,,CV i vs E Scan 2,,CV i vs E Scan 3,
V,µA,V,µA,V,µA
-0.389962,-0.363947,-0.389962,-0.690964,-0.389962,-0.669124
-0.379962,-0.2414,-0.379962,-0.447633,-0.379962,-0.428321
-0.369962,-0.168777,-0.369962,-0.316836,-0.369962,-0.304819
-0.359962,-0.119949,-0.359962,-0.231958,-0.359962,-0.213123
-0.349962,-0.0838521,-0.349962,-0.167156,-0.349962,-0.157381
-0.34004,-0.0433208,-0.34004,-0.118185,-0.34004,-0.101018
-0.33004,-0.0175453,-0.33004,-0.0772241,-0.33004,-0.0672105
-0.32004,0.00722649,-0.32004,-0.0432255,-0.32004,-0.0297309
-0.31004,0.0287462,-0.31004,-0.0139785,-0.31004,-0.00417949
-0.30004,0.0498321,-0.30004,0.0108934,-0.30004,0.018518
-0.29004,0.0650861,-0.29004,0.0303627,-0.29004,0.0428845
-0.28004,0.083392,-0.28004,0.0499942,-0.28004,0.0581195
-0.27004,0.0986461,-0.27004,0.0665739,-0.27004,0.0750855
-0.26004,0.111864,-0.26004,0.084832,-0.26004,0.0927094
-0.25004,0.124424,-0.25004,0.0989655,-0.25004,0.105513
-0.24004,0.133837,-0.24004,0.113504,-0.24004,0.120156
-0.23004,0.148185,-0.23004,0.125092,-0.23004,0.131124
-0.22004,0.157183,-0.22004,0.138648,-0.22004,0.141037
-0.21004,0.170611,-0.21004,0.150173,-0.21004,0.15507
-0.200118,0.178121,-0.200118,0.159953,-0.200118,0.1631
-0.190118,0.189269,-0.190118,0.171025,-0.190118,0.172919
-0.180118,0.201662,-0.180118,0.181144,-0.180118,0.182026
-0.170118,0.207966,-0.170118,0.189231,-0.170118,0.19338
-0.160118,0.217298,-0.160118,0.199979,-0.160118,0.202006
-0.150118,0.222762,-0.150118,0.208658,-0.150118,0.210775
-0.140118,0.235628,-0.140118,0.214408,-0.140118,0.215758
-0.130118,0.241707,-0.130118,0.227235,-0.130118,0.226186
-0.120118,0.25112,-0.120118,0.232809,-0.120118,0.235237
-0.110118,0.259765,-0.110118,0.242346,-0.110118,0.244268
-0.100118,0.267681,-0.100118,0.253452,-0.100118,0.252889
-0.0901175,0.27871,-0.0901175,0.264014,-0.0901175,0.263547
-0.0801175,0.29116,-0.0801175,0.273841,-0.0801175,0.275344
-0.0701174,0.304397,-0.0701174,0.291461,-0.0701174,0.289129
-0.0601955,0.327343,-0.0601955,0.308951,-0.0601955,0.30836
-0.0501955,0.344609,-0.0501955,0.330261,-0.0501955,0.327295
-0.0401954,0.372328,-0.0401954,0.354232,-0.0401954,0.352825
-0.0301954,0.398311,-0.0301954,0.37908,-0.0301954,0.377254
-0.0201954,0.428089,-0.0201954,0.402922,-0.0201954,0.401405
-0.0101953,0.449018,-0.0101953,0.426807,-0.0101953,0.415796
-0.000195275,0.465464,-0.000195275,0.439953,-0.000195275,0.43333
0.00980476,0.473809,0.00980476,0.449886,0.00980476,0.439462
0.0198048,0.472536,0.0198048,0.448632,0.0198048,0.443
0.0298048,0.471224,0.0298048,0.443587,0.0298048,0.434565
0.0398049,0.463781,0.0398049,0.436968,0.0398049,0.431008
0.0498049,0.455517,0.0498049,0.433831,0.0498049,0.425848
0.059805,0.442375,0.059805,0.421972,0.059805,0.418438
0.069805,0.441684,0.069805,0.418772,0.069805,0.413279
0.079805,0.440177,0.079805,0.416183,0.079805,0.410437
0.0897269,0.437669,0.0897269,0.415396,0.0897269,0.408501
0.099727,0.436439,0.099727,0.414991,0.099727,0.407075
0.109727,0.443672,0.109727,0.420179,0.109727,0.41614
0.119727,0.446677,0.119727,0.425004,0.119727,0.422539
0.129727,0.454168,0.129727,0.432257,0.129727,0.42519
0.139727,0.465788,0.139727,0.437798,0.139727,0.4323
0.149727,0.479144,0.149727,0.449127,0.149727,0.443997
0.159727,0.489883,0.159727,0.458979,0.159727,0.451168
0.169727,0.505638,0.169727,0.471119,0.169727,0.46523
0.179727,0.517966,0.179727,0.484294,0.179727,0.477495
0.189727,0.538184,0.189727,0.500912,0.189727,0.490684
0.199727,0.560167,0.199727,0.515725,0.199727,0.505757
0.209727,0.579383,0.209727,0.531079,0.209727,0.517585
0.219727,0.598409,0.219727,0.545909,0.219727,0.536706
0.229649,0.624111,0.229649,0.56937,0.229649,0.552919
0.239649,0.64719,0.239649,0.586154,0.239649,0.574567
0.249649,0.670841,0.249649,0.606897,0.249649,0.592735
0.259649,0.699356,0.259649,0.632408,0.259649,0.612762
0.26965,0.725201,0.26965,0.661304,0.26965,0.638893
0.27965,0.759676,0.27965,0.688341,0.27965,0.661781
0.28965,0.792912,0.28965,0.720051,0.28965,0.696018
0.29965,0.82238,0.29965,0.75157,0.29965,0.728825
0.28965,0.524261,0.28965,0.476481,0.28965,0.456693
0.27965,0.360371,0.27965,0.322081,0.27965,0.307633
0.26965,0.246359,0.26965,0.22266,0.26965,0.208212
0.259649,0.165487,0.259649,0.143886,0.259649,0.135303
0.249649,0.100541,0.249649,0.0860456,0.249649,0.0812772
0.239649,0.0545265,0.239649,0.0424148,0.239649,0.0339748
0.229649,0.0149966,0.229649,-0.0010252,0.229649,-0.00121594
0.219727,-0.0231243,0.219727,-0.0315787,0.219727,-0.0377776
0.209727,-0.0524213,0.209727,-0.0598314,0.209727,-0.0577285
0.199727,-0.0742748,0.199727,-0.0809601,0.199727,-0.0869969
0.189727,-0.0960234,0.189727,-0.100434,0.189727,-0.105985
0.179727,-0.115784,0.179727,-0.12019,0.179727,-0.1209
0.169727,-0.129402,0.169727,-0.137628,0.169727,-0.134748
0.159727,-0.143283,0.159727,-0.146874,0.159727,-0.152815
0.149727,-0.155533,0.149727,-0.161255,0.149727,-0.161632
0.139727,-0.167335,0.139727,-0.169128,0.139727,-0.176433
0.129727,-0.178683,0.129727,-0.179055,0.129727,-0.182904
0.119727,-0.18525,0.119727,-0.190871,0.119727,-0.195697
0.109727,-0.197771,0.109727,-0.202831,0.109727,-0.203346
0.099727,-0.206459,0.099727,-0.210541,0.099727,-0.214308
0.0897269,-0.213655,0.0897269,-0.220617,0.0897269,-0.219277
0.079805,-0.224532,0.079805,-0.229519,0.079805,-0.228804
0.069805,-0.240797,0.069805,-0.238126,0.069805,-0.243028
0.059805,-0.247978,0.059805,-0.252517,0.059805,-0.252927
0.0498049,-0.263613,0.0498049,-0.266307,0.0498049,-0.267266
0.0398049,-0.283207,0.0398049,-0.288504,0.0398049,-0.283326
0.0298048,-0.305732,0.0298048,-0.305594,0.0298048,-0.304078
0.0198048,-0.328502,0.0198048,-0.331968,0.0198048,-0.328387
0.00980476,-0.362562,0.00980476,-0.358852,0.00980476,-0.35457
-0.000195275,-0.389422,-0.000195275,-0.382384,-0.000195275,-0.380911
-0.0101953,-0.411271,-0.0101953,-0.405611,-0.0101953,-0.402097
-0.0201954,-0.428905,-0.0201954,-0.424332,-0.0201954,-0.414623
-0.0301954,-0.440101,-0.0301954,-0.429634,-0.0301954,-0.423845
-0.0401954,-0.442547,-0.0401954,-0.431837,-0.0401954,-0.427937
-0.0501955,-0.439009,-0.0501955,-0.428518,-0.0501955,-0.42364
-0.0601955,-0.431728,-0.0601955,-0.420789,-0.0601955,-0.416764
-0.0701174,-0.423664,-0.0701174,-0.413398,-0.0701174,-0.403413
-0.0801175,-0.416993,-0.0801175,-0.407075,-0.0801175,-0.400056
-0.0901175,-0.411283,-0.0901175,-0.400552,-0.0901175,-0.395249
-0.100118,-0.402788,-0.100118,-0.3976,-0.100118,-0.391325
-0.110118,-0.401687,-0.110118,-0.39379,-0.110118,-0.388092
-0.120118,-0.402731,-0.120118,-0.390581,-0.120118,-0.386433
-0.130118,-0.402683,-0.130118,-0.394062,-0.130118,-0.388211
-0.140118,-0.409116,-0.140118,-0.397548,-0.140118,-0.392465
-0.150118,-0.412668,-0.150118,-0.404371,-0.150118,-0.396217
-0.160118,-0.420074,-0.160118,-0.409454,-0.160118,-0.402865
-0.170118,-0.428976,-0.170118,-0.41748,-0.170118,-0.412916
-0.180118,-0.441698,-0.180118,-0.427679,-0.180118,-0.424222
-0.190118,-0.453729,-0.190118,-0.440187,-0.190118,-0.433625
-0.200118,-0.467586,-0.200118,-0.453462,-0.200118,-0.445542
-0.21004,-0.482044,-0.21004,-0.465788,-0.21004,-0.457129
-0.22004,-0.495519,-0.22004,-0.479793,-0.22004,-0.469474
-0.23004,-0.511598,-0.23004,-0.491538,-0.23004,-0.478649
-0.24004,-0.522067,-0.24004,-0.498037,-0.24004,-0.490517
