CV i vs E Scan 1,,CV i vs E Scan 2,,CV i vs E Scan 3,
V,µA,V,µA,V,µA
-0.389962,-0.104249,-0.389962,-0.590398,-0.389962,-0.60394
-0.379962,-0.0135017,-0.379962,-0.350071,-0.379962,-0.366713
-0.369962,0.0290323,-0.369962,-0.232817,-0.369962,-0.245977
-0.359962,0.0604083,-0.359962,-0.149704,-0.359962,-0.161958
-0.349962,0.0856379,-0.349962,-0.0928644,-0.349962,-0.100828
-0.34004,0.104459,-0.34004,-0.0507118,-0.34004,-0.0564816
-0.33004,0.116466,-0.33004,-0.0172377,-0.33004,-0.0209571
-0.32004,0.131572,-0.32004,0.0114561,-0.32004,0.00509979
-0.31004,0.140522,-0.31004,0.0343253,-0.31004,0.0290228
-0.30004,0.149615,-0.30004,0.0557115,-0.30004,0.0506475
-0.29004,0.157645,-0.29004,0.0707701,-0.29004,0.071471
-0.28004,0.169242,-0.28004,0.0886038,-0.28004,0.0828818
-0.27004,0.175312,-0.27004,0.0990609,-0.27004,0.099657
-0.26004,0.181483,-0.26004,0.112889,-0.26004,0.109919
-0.25004,0.187681,-0.25004,0.123961,-0.25004,0.120738
-0.24004,0.194586,-0.24004,0.138495,-0.24004,0.134075
-0.23004,0.201805,-0.23004,0.147074,-0.23004,0.143521
-0.22004,0.208605,-0.22004,0.155085,-0.22004,0.153087
-0.21004,0.213054,-0.21004,0.164974,-0.21004,0.165308
-0.200118,0.225032,-0.200118,0.172656,-0.200118,0.172966
-0.190118,0.228046,-0.190118,0.180329,-0.190118,0.182212
-0.180118,0.237101,-0.180118,0.188163,-0.180118,0.184925
-0.170118,0.241641,-0.170118,0.195916,-0.170118,0.195649
-0.160118,0.249866,-0.160118,0.204728,-0.160118,0.201996
-0.150118,0.258001,-0.150118,0.212015,-0.150118,0.21076
-0.140118,0.265316,-0.140118,0.219701,-0.140118,0.216645
-0.130118,0.270556,-0.130118,0.224727,-0.130118,0.225595
-0.120118,0.278572,-0.120118,0.234612,-0.120118,0.237101
-0.110118,0.285686,-0.110118,0.24577,-0.110118,0.242899
-0.100118,0.292505,-0.100118,0.248798,-0.100118,0.252441
-0.0901175,0.301846,-0.0901175,0.258282,-0.0901175,0.259036
-0.0801175,0.309423,-0.0801175,0.263752,-0.0801175,0.263756
-0.0701174,0.316356,-0.0701174,0.272125,-0.0701174,0.272707
-0.0601955,0.325931,-0.0601955,0.27973,-0.0601955,0.283059
-0.0501955,0.333494,-0.0501955,0.289467,-0.0501955,0.287751
-0.0401954,0.34459,-0.0401954,0.296439,-0.0401954,0.294474
-0.0301954,0.35757,-0.0301954,0.303682,-0.0301954,0.305022
-0.0201954,0.365123,-0.0201954,0.311159,-0.0201954,0.311021
-0.0101953,0.375341,-0.0101953,0.319685,-0.0101953,0.315803
-0.000195275,0.382833,-0.000195275,0.329088,-0.000195275,0.326856
0.00980476,0.393914,0.00980476,0.338258,0.00980476,0.33296
0.0198048,0.402655,0.0198048,0.348648,0.0198048,0.341147
0.0298048,0.420989,0.0298048,0.354189,0.0298048,0.350274
0.0398049,0.428423,0.0398049,0.363635,0.0398049,0.357284
0.0498049,0.440282,0.0498049,0.374044,0.0498049,0.368904
0.059805,0.45557,0.059805,0.385293,0.059805,0.375332
0.069805,0.469889,0.069805,0.39338,0.069805,0.382799
0.079805,0.483875,0.079805,0.405087,0.079805,0.393237
0.0897269,0.498857,0.0897269,0.416941,0.0897269,0.406684
0.099727,0.517349,0.099727,0.429262,0.099727,0.413913
0.109727,0.532272,0.109727,0.441765,0.109727,0.431256
0.119727,0.549676,0.119727,0.45732,0.119727,0.436577
0.129727,0.573423,0.129727,0.470008,0.129727,0.450787
0.139727,0.594356,0.139727,0.488805,0.139727,0.463557
0.149727,0.61753,0.149727,0.506191,0.149727,0.484952
0.159727,0.641658,0.159727,0.522306,0.159727,0.497746
0.169727,0.674417,0.169727,0.548055,0.169727,0.51403
0.179727,0.706747,0.179727,0.560262,0.179727,0.531747
0.189727,0.733927,0.189727,0.586727,0.189727,0.554254
0.199727,0.767592,0.199727,0.616434,0.199727,0.573661
0.209727,0.805262,0.209727,0.644233,0.209727,0.598743
0.219727,0.843981,0.219727,0.673082,0.219727,0.622919
0.229649,0.878266,0.229649,0.700739,0.229649,0.648382
0.239649,0.925664,0.239649,0.73345,0.239649,0.675466
0.249649,0.969771,0.249649,0.770977,0.249649,0.705746
0.259649,1.02532,0.259649,0.814417,0.259649,0.746992
0.26965,1.08293,0.26965,0.865344,0.26965,0.779274
0.27965,1.14873,0.27965,0.919846,0.27965,0.837639
0.28965,1.21849,0.28965,0.982121,0.28965,0.889758
0.29965,1.2945,0.29965,1.04773,0.29965,0.953893
0.28965,0.85328,0.28965,0.675609,0.28965,0.603988
0.27965,0.5986,0.27965,0.466277,0.27965,0.412108
0.26965,0.430323,0.26965,0.322415,0.26965,0.283505
0.259649,0.304247,0.259649,0.217701,0.259649,0.188184
0.249649,0.212932,0.249649,0.138259,0.249649,0.113273
0.239649,0.14093,0.239649,0.0768426,0.239649,0.0539543
0.229649,0.0755075,0.229649,0.0204802,0.229649,0.00879768
0.219727,0.0269652,0.219727,-0.0211001,0.219727,-0.0296832
0.209727,-0.018859,0.209727,-0.0500037,0.209727,-0.0610282
0.199727,-0.0528648,0.199727,-0.0813511,0.199727,-0.0922803
0.189727,-0.0808981,0.189727,-0.107682,0.189727,-0.113318
0.179727,-0.109938,0.179727,-0.132111,0.179727,-0.133822
0.169727,-0.131104,0.169727,-0.1454,0.169727,-0.149925
0.159727,-0.153716,0.159727,-0.165899,0.159727,-0.167311
0.149727,-0.171841,0.149727,-0.17814,0.149727,-0.180534
0.139727,-0.183166,0.139727,-0.1906,0.139727,-0.19307
0.129727,-0.20028,0.129727,-0.204228,0.129727,-0.204857
0.119727,-0.212415,0.119727,-0.221446,0.119727,-0.215991
0.109727,-0.220698,0.109727,-0.224794,0.109727,-0.225476
0.099727,-0.2296,0.099727,-0.235885,0.099727,-0.235504
0.0897269,-0.242046,0.0897269,-0.241655,0.0897269,-0.24371
0.079805,-0.255364,0.079805,-0.258792,0.079805,-0.253209
0.069805,-0.260986,0.069805,-0.259045,0.069805,-0.25585
0.059805,-0.267719,0.059805,-0.267366,0.059805,-0.264247
