CV i vs E Scan 1,,CV i vs E Scan 2,,CV i vs E Scan 3,
V,µA,V,µA,V,µA
-0.389962,-0.31233,-0.389962,-0.627043,-0.389962,-0.60797
-0.379962,-0.19312,-0.379962,-0.388624,-0.379962,-0.374319
-0.369962,-0.126362,-0.369962,-0.264646,-0.369962,-0.25034
-0.359962,-0.0786784,-0.359962,-0.183583,-0.359962,-0.174046
-0.349962,-0.0405313,-0.349962,-0.121594,-0.349962,-0.116826
-0.34004,-0.011921,-0.34004,-0.0739101,-0.34004,-0.0691417
-0.33004,0.011921,-0.33004,-0.0405313,-0.33004,-0.0309945
-0.32004,0.0357629,-0.32004,-0.011921,-0.32004,-0.0023842
-0.31004,0.0548365,-0.31004,0.011921,-0.31004,0.0166894
-0.30004,0.0691416,-0.30004,0.0309945,-0.30004,0.0357629
-0.29004,0.0834468,-0.29004,0.0500681,-0.29004,0.0548365
-0.28004,0.097752,-0.28004,0.0691416,-0.28004,0.0691416
-0.27004,0.112057,-0.27004,0.0834468,-0.27004,0.0882152
-0.26004,0.121594,-0.26004,0.0929836,-0.26004,0.10252
-0.25004,0.131131,-0.25004,0.107289,-0.25004,0.112057
-0.24004,0.140667,-0.24004,0.121594,-0.24004,0.121594
-0.23004,0.150204,-0.23004,0.126362,-0.23004,0.131131
-0.22004,0.159741,-0.22004,0.135899,-0.22004,0.140667
-0.21004,0.169278,-0.21004,0.150204,-0.21004,0.150204
-0.200118,0.178815,-0.200118,0.154973,-0.200118,0.159741
-0.190118,0.188351,-0.190118,0.164509,-0.190118,0.164509
-0.180118,0.19312,-0.180118,0.174046,-0.180118,0.174046
-0.170118,0.202657,-0.170118,0.183583,-0.170118,0.183583
-0.160118,0.207425,-0.160118,0.188351,-0.160118,0.188351
-0.150118,0.212193,-0.150118,0.19312,-0.150118,0.19312
-0.140118,0.216962,-0.140118,0.202657,-0.140118,0.197888
-0.130118,0.226499,-0.130118,0.207425,-0.130118,0.212193
-0.120118,0.231267,-0.120118,0.216962,-0.120118,0.212193
-0.110118,0.240804,-0.110118,0.22173,-0.110118,0.22173
-0.100118,0.25034,-0.100118,0.231267,-0.100118,0.231267
-0.0901175,0.255109,-0.0901175,0.240804,-0.0901175,0.236035
-0.0801175,0.264646,-0.0801175,0.25034,-0.0801175,0.25034
-0.0701174,0.278951,-0.0701174,0.264646,-0.0701174,0.264646
-0.0601955,0.298024,-0.0601955,0.278951,-0.0601955,0.274182
-0.0501955,0.317098,-0.0501955,0.298024,-0.0501955,0.293256
-0.0401954,0.336171,-0.0401954,0.317098,-0.0401954,0.307561
-0.0301954,0.360013,-0.0301954,0.34094,-0.0301954,0.331403
-0.0201954,0.388624,-0.0201954,0.364782,-0.0201954,0.360013
-0.0101953,0.412466,-0.0101953,0.388624,-0.0101953,0.379087
-0.000195275,0.431539,-0.000195275,0.407697,-0.000195275,0.398161
0.00980476,0.445844,0.00980476,0.417234,0.00980476,0.407697
0.0198048,0.450613,0.0198048,0.422002,0.0198048,0.412466
0.0298048,0.441076,0.0298048,0.417234,0.0298048,0.407697
0.0398049,0.436308,0.0398049,0.412466,0.0398049,0.398161
0.0498049,0.426771,0.0498049,0.398161,0.0498049,0.393392
0.059805,0.412466,0.059805,0.388624,0.059805,0.383855
0.069805,0.402929,0.069805,0.379087,0.069805,0.374319
0.079805,0.398161,0.079805,0.36955,0.079805,0.36955
0.0897269,0.388624,0.0897269,0.36955,0.0897269,0.360013
0.099727,0.383855,0.099727,0.364782,0.099727,0.360013
0.109727,0.388624,0.109727,0.364782,0.109727,0.355245
0.119727,0.388624,0.119727,0.36955,0.119727,0.360013
0.129727,0.388624,0.129727,0.364782,0.129727,0.364782
0.139727,0.398161,0.139727,0.36955,0.139727,0.36955
0.149727,0.402929,0.149727,0.379087,0.149727,0.374319
0.159727,0.402929,0.159727,0.383855,0.159727,0.379087
0.169727,0.417234,0.169727,0.393392,0.169727,0.383855
0.179727,0.426771,0.179727,0.398161,0.179727,0.393392
0.189727,0.436308,0.189727,0.407697,0.189727,0.407697
0.199727,0.450613,0.199727,0.422002,0.199727,0.412466
0.209727,0.464918,0.209727,0.431539,0.209727,0.426771
0.219727,0.479223,0.219727,0.445844,0.219727,0.441076
0.229649,0.48876,0.229649,0.455381,0.229649,0.445844
0.239649,0.507833,0.239649,0.469686,0.239649,0.464918
0.249649,0.522139,0.249649,0.483992,0.249649,0.479223
0.259649,0.541212,0.259649,0.503065,0.259649,0.493528
0.26965,0.560286,0.26965,0.522139,0.26965,0.512602
0.27965,0.584128,0.27965,0.541212,0.27965,0.531675
0.28965,0.598433,0.28965,0.565054,0.28965,0.555517
0.29965,0.627043,0.29965,0.588896,0.29965,0.574591
0.28965,0.374319,0.28965,0.350477,0.28965,0.34094
0.27965,0.25034,0.27965,0.226499,0.27965,0.22173
0.26965,0.159741,0.26965,0.145436,0.26965,0.135899
0.259649,0.097752,0.259649,0.0834468,0.259649,0.0786784
0.249649,0.0452997,0.249649,0.0357629,0.249649,0.0309945
0.239649,0.00715258,0.239649,0.00238419,0.239649,0.00238419
0.229649,-0.0166894,0.229649,-0.0262262,0.229649,-0.0262262
0.219727,-0.0405313,0.219727,-0.0500681,0.219727,-0.0500681
0.209727,-0.0596049,0.209727,-0.0643733,0.209727,-0.0739101
0.199727,-0.0786784,0.199727,-0.0882152,0.199727,-0.0882152
0.189727,-0.097752,0.189727,-0.10252,0.189727,-0.10252
0.179727,-0.107289,0.179727,-0.116826,0.179727,-0.116826
0.169727,-0.121594,0.169727,-0.121594,0.169727,-0.126362
0.159727,-0.126362,0.159727,-0.131131,0.159727,-0.135899
0.149727,-0.140668,0.149727,-0.145436,0.149727,-0.145436
0.139727,-0.145436,0.139727,-0.150204,0.139727,-0.154973
0.129727,-0.154973,0.129727,-0.159741,0.129727,-0.159741
0.119727,-0.159741,0.119727,-0.164509,0.119727,-0.169278
0.109727,-0.169278,0.109727,-0.174046,0.109727,-0.174046
0.099727,-0.178815,0.099727,-0.183583,0.099727,-0.183583
0.0897269,-0.183583,0.0897269,-0.188351,0.0897269,-0.188351
0.079805,-0.19312,0.079805,-0.197888,0.079805,-0.197888
0.069805,-0.202657,0.069805,-0.202657,0.069805,-0.207425
0.059805,-0.216962,0.059805,-0.216962,0.059805,-0.216962
0.0498049,-0.231267,0.0498049,-0.231267,0.0498049,-0.231267
0.0398049,-0.25034,0.0398049,-0.255109,0.0398049,-0.25034
0.0298048,-0.274182,0.0298048,-0.269414,0.0298048,-0.269414
0.0198048,-0.298024,0.0198048,-0.293256,0.0198048,-0.288488
0.00980476,-0.326635,0.00980476,-0.321866,0.00980476,-0.317098
-0.000195275,-0.355245,-0.000195275,-0.345708,-0.000195275,-0.34094
-0.0101953,-0.374319,-0.0101953,-0.36955,-0.0101953,-0.355245
-0.0201954,-0.393392,-0.0201954,-0.379087,-0.0201954,-0.36955
-0.0301954,-0.398161,-0.0301954,-0.388624,-0.0301954,-0.374319
-0.0401954,-0.393392,-0.0401954,-0.388624,-0.0401954,-0.374319
-0.0501955,-0.388624,-0.0501955,-0.379087,-0.0501955,-0.374319
-0.0601955,-0.379087,-0.0601955,-0.374319,-0.0601955,-0.364782
-0.0701174,-0.374319,-0.0701174,-0.364782,-0.0701174,-0.360013
-0.0801175,-0.360013,-0.0801175,-0.355245,-0.0801175,-0.350477
-0.0901175,-0.355245,-0.0901175,-0.350477,-0.0901175,-0.345708
-0.100118,-0.350477,-0.100118,-0.34094,-0.100118,-0.34094
-0.110118,-0.350477,-0.110118,-0.34094,-0.110118,-0.336171
-0.120118,-0.345708,-0.120118,-0.34094,-0.120118,-0.336171
-0.130118,-0.345708,-0.130118,-0.34094,-0.130118,-0.336171
-0.140118,-0.355245,-0.140118,-0.34094,-0.140118,-0.34094
-0.150118,-0.355245,-0.150118,-0.345708,-0.150118,-0.34094
-0.160118,-0.360013,-0.160118,-0.355245,-0.160118,-0.345708
-0.170118,-0.36955,-0.170118,-0.360013,-0.170118,-0.355245
-0.180118,-0.379087,-0.180118,-0.36955,-0.180118,-0.364782
-0.190118,-0.388624,-0.190118,-0.379087,-0.190118,-0.36955
-0.200118,-0.398161,-0.200118,-0.388624,-0.200118,-0.383855
-0.21004,-0.412466,-0.21004,-0.402929,-0.21004,-0.398161
-0.22004,-0.422003,-0.22004,-0.412466,-0.22004,-0.407697
-0.23004,-0.431539,-0.23004,-0.426771,-0.23004,-0.417234
