Fixed at 70 freqs,,,,,,,,,
freq / Hz,Time / s,neg. Phase / °,Idc / uA,Iac / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,Eac / V
1000000,0,69.1886,1.66894,85.016,27.06,9.61421,25.2945,6.29208E-09,0.00254843
791682,0,57.1965,1.66894,104.05,32.0594,17.3685,26.947,7.46035E-09,0.00347717
626760,0,49.1255,1.66894,118.673,35.7486,23.394,27.0311,9.3941E-09,0.00432751
496195,0,43.5802,1.1921,138.767,38.6524,28.0002,26.6458,1.20376E-08,0.00542511
392828,0,39.8836,0.715258,165.45,41.2146,31.626,26.4281,1.53304E-08,0.00687543
310995,0,37.7736,1.66894,187.46,44.0013,34.7802,26.9527,1.89873E-08,0.00830211
246209,0,36.9171,-0.715259,213.694,47.149,37.6959,28.3205,2.28252E-08,0.0101333
194919,0,36.8594,0.715258,222.142,51.0911,40.8785,30.6472,2.66425E-08,0.0114059
154314,0,37.1093,-0.715259,209.007,56.1077,44.7451,33.8519,3.04671E-08,0.0117798
122168,0,37.2714,-0.715259,183.697,62.52,49.7519,37.8615,3.44085E-08,0.0115295
96718,0,37.2118,0.452997,157.416,69.5977,55.4279,42.0901,3.9096E-08,0.0110118
76569.9,0,36.1479,0.7391,134.16,78.6496,63.5093,46.3932,4.48031E-08,0.01059
60619,0,34.0621,0.834468,116,88.2034,73.0704,49.4019,5.31457E-08,0.0102649
47991,0,31.4687,-0.834468,102.385,97.6863,83.3191,50.9955,6.50323E-08,0.0100296
37993.6,0,28.4699,1.21594,92.3814,106.658,93.7598,50.8436,8.23898E-08,0.00987862
30078.8,0,25.366,-6.60422,84.2934,114.793,103.726,49.1772,1.07596E-07,0.00969904
23812.9,0,22.5335,-0.979904,79.2775,121.485,112.21,46.5558,1.4356E-07,0.00965329
18852.2,0,19.8145,-1.87636,75.6116,127.159,119.631,43.1038,1.95858E-07,0.00963618
14925,0,17.4286,-1.09911,72.3733,132.584,126.497,39.7112,2.68531E-07,0.00961616
11815.8,0,15.3741,0.240804,70.0336,136.923,132.023,36.3009,3.71056E-07,0.00960918
9354.37,0,13.6962,-0.650885,68.391,140.481,136.486,33.2622,5.1151E-07,0.00962759
7405.68,0,12.2932,-0.412466,66.7961,143.553,140.262,30.5647,7.03129E-07,0.00960832
5862.95,0,11.3314,-0.288488,65.4718,146.216,143.366,28.7291,9.44892E-07,0.00959216
4641.59,0,10.5819,-0.298024,64.2006,149.082,146.547,27.3776,1.25245E-06,0.00958995
3674.66,0,10.0237,-0.197888,63.3418,151.002,148.697,26.2826,1.64791E-06,0.00958266
