Fixed at 70 freqs,,,,,,,,,
freq / Hz,Time / s,neg. Phase / °,Idc / uA,Iac / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,Eac / V
1000000,0,69.5291,1.66894,85.0194,26.9917,9.43983,25.2872,6.2939E-09,0.00254397
791682,0,57.6223,1.66894,104.158,32.1099,17.1948,27.118,7.41331E-09,0.00348555
626760,0,49.5954,1.66894,119.002,35.6929,23.1355,27.1796,9.34275E-09,0.00433402
496195,0,43.9399,1.1921,139.362,38.734,27.8911,26.8776,1.19337E-08,0.00545955
392828,0,40.3576,0.715258,166.448,41.4123,31.557,26.8168,1.51081E-08,0.0069494
310995,0,38.3271,1.1921,189.085,44.1427,34.6292,27.3751,1.86944E-08,0.00840053
246209,0,37.5371,-0.715259,215.673,47.4018,37.5877,28.8808,2.23824E-08,0.01028
194919,0,37.6258,0.715258,223.153,51.4022,40.7113,31.3811,2.60194E-08,0.0115264
154314,0,38.0529,-0.715259,208.513,56.6541,44.6119,34.921,2.95344E-08,0.011865
122168,0,38.3207,-0.715259,182.009,63.2798,49.6463,39.2374,3.32019E-08,0.011562
96718,0,38.3316,0.405313,155.502,70.5199,55.3182,43.7372,3.76237E-08,0.0110195
76569.9,0,37.4567,0.7391,132.137,79.8178,63.3605,48.5421,4.28197E-08,0.0105838
60619,0,35.7788,0.643733,113.977,89.6406,72.7236,52.4091,5.00962E-08,0.0102492
47991,0,33.5055,-0.691417,100.25,99.7341,83.1616,55.0549,6.02372E-08,0.0100253
37993.6,0,30.9069,1.0252,89.8593,109.58,94.0203,56.2854,7.44243E-08,0.00987091
30078.8,0,28.1725,-5.50749,81.4114,118.826,104.748,56.1009,9.43169E-08,0.00969522
23812.9,0,25.6179,-0.851158,75.8142,127.082,114.59,54.9463,1.21638E-07,0.00965445
18852.2,0,23.0774,-1.7953,71.3615,134.724,123.943,52.8083,1.59866E-07,0.00963394
14925,0,20.7335,-1.05143,67.6326,141.848,132.661,50.2172,2.12351E-07,0.00961238
11815.8,0,18.672,0.274182,64.6533,148.214,140.413,47.4506,2.83867E-07,0.0096006
9354.37,0,16.9413,-0.584128,62.4975,153.669,147,44.7778,3.79964E-07,0.00962183
7405.68,0,15.3452,-0.445844,60.2833,159.096,153.424,42.1024,5.10444E-07,0.00960824
5862.95,0,14.1508,-0.22173,58.6486,163.315,158.36,39.9264,6.79898E-07,0.00959509
4641.59,0,13.1782,-0.302793,57.085,167.748,163.331,38.2432,8.966E-07,0.00959226
3674.66,0,12.5021,-0.293256,56.0485,170.728,166.68,36.9585,1.1719E-06,0.00958501
2909.16,0,10.7387,-0.350477,53.4631,179.445,176.302,33.4359,1.63621E-06,0.00960939
