Fixed at 70 freqs,,,,,,,,,
freq / Hz,Time / s,neg. Phase / °,Idc / uA,Iac / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,Eac / V
1000000,0,70.6455,1.1921,82.0847,27.807,9.21555,26.2355,6.0664E-09,0.00250934
791682,0,58.9598,1.1921,100.857,33.0802,17.0575,28.3433,7.09281E-09,0.0034623
626760,0,50.7816,1.1921,115.594,37.0828,23.4467,28.7296,8.83871E-09,0.00436162
496195,0,45.2718,1.1921,136.038,40.1824,28.2782,28.5477,1.12356E-08,0.00552336
392828,0,41.5851,0.715258,163.411,43.08,32.2225,28.5936,1.41693E-08,0.00709092
310995,0,39.4714,1.1921,186.338,46.1707,35.6411,29.3504,1.74362E-08,0.00865593
246209,0,38.6439,-0.715259,212.281,49.7093,38.8251,31.0424,2.08238E-08,0.010607
194919,0,38.6335,0.715258,217.515,54.1009,42.2612,33.7772,2.41736E-08,0.0118209
154314,0,38.8595,-0.715259,200.655,59.7884,46.5564,37.5121,2.74943E-08,0.0120457
122168,0,39.0064,-0.715259,173.494,66.8294,51.9316,42.0629,3.09717E-08,0.0116361
96718,0,38.8923,0.405313,147.271,74.7082,58.1474,46.9062,3.50819E-08,0.0110514
76569.9,0,37.7159,0.643733,124.544,84.785,67.0695,51.8669,4.00748E-08,0.0105936
60619,0,35.7317,0.596049,107.392,95.1801,77.2635,55.5842,4.72346E-08,0.0102514
47991,0,33.2538,-0.596049,94.5223,105.682,88.3769,57.9508,5.72271E-08,0.0100146
37993.6,0,30.4836,0.97752,84.8145,116.025,99.9869,58.8584,7.11708E-08,0.00986346
30078.8,0,27.5556,-5.59094,77.3065,125.067,110.88,57.8572,9.14537E-08,0.00968891
23812.9,0,24.8535,-0.827316,71.9428,133.761,121.373,56.2195,1.18883E-07,0.00963974
18852.2,0,22.2769,-1.81914,67.9229,141.349,130.799,53.5829,1.57555E-07,0.00961981
14925,0,19.8544,-1.03712,64.4951,148.706,139.867,50.5053,2.1114E-07,0.00960891
11815.8,0,17.6139,0.226499,61.8673,154.901,147.638,46.8731,2.87364E-07,0.00960075
9354.37,0,15.6287,-0.584128,60.0601,159.94,154.026,43.0881,3.94864E-07,0.00962346
7405.68,0,14.0382,-0.441076,58.161,164.973,160.046,40.0173,5.3704E-07,0.0096118
5862.95,0,12.761,-0.321866,56.776,168.682,164.516,37.2594,7.28566E-07,0.00959344
4641.59,0,11.7196,-0.264646,55.4944,172.341,168.748,35.0064,9.79502E-07,0.00958
3674.66,0,10.8121,-0.154973,54.3806,176.108,172.982,33.0358,1.31105E-06,0.00959129
2909.16,0,11.0745,-0.25034,52.8946,179.741,176.394,34.5256,1.58457E-06,0.0095227
2303.13,0,10.0239,-0.197888,52.6091,181.387,178.618,31.5718,2.18878E-06,0.00955786
1823.35,0,9.99315,-0.183583,51.8683,183.739,180.951,31.8843,2.73762E-06,0.00954509
1443.51,0,10.1961,-0.10252,51.1169,186.712,183.764,33.0514,3.33588E-06,0.00955847
1142.8,0,10.8207,-0.31233,50.4179,189.241,185.876,35.5273,3.92001E-06,0.00955477
904.736,0,11.7915,-0.288488,49.5378,192.903,188.832,39.4197,4.46257E-06,0.00957221
716.263,0,13.0029,-0.22173,48.7769,195.75,190.731,44.0439,5.04501E-06,0.00956276
567.052,0,14.5327,-0.164509,47.6906,202.502,196.023,50.8144,5.52345E-06,0.00967146
448.925,0,16.7968,-0.112057,47.0107,203.07,194.406,58.6829,6.04136E-06,0.00955999
355.406,0,19.5738,-0.116826,45.799,208.603,196.548,69.8862,6.40773E-06,0.00956675
281.368,0,22.9545,-0.259877,44.1424,215.555,198.486,84.0663,6.72857E-06,0.0095274
222.754,0,27.032,-0.240804,42.3463,225.065,200.477,102.289,6.98496E-06,0.00954199
176.351,0,31.8197,-0.231267,40.0163,238.514,202.668,125.756,7.17654E-06,0.00955485
139.614,0,37.0947,-0.25034,37.1546,256.95,204.953,154.975,7.35581E-06,0.00955584
110.53,0,42.7522,-0.236035,33.7623,282.818,207.672,191.985,7.50024E-06,0.00955612
87.5042,0,48.5368,0.00238419,29.9676,319.152,211.323,239.166,7.60486E-06,0.00957018
69.2755,0,54.0727,0.00238419,25.9929,367.708,215.756,297.756,7.71577E-06,0.00956228
54.8442,0,59.3342,-0.0023842,22.0995,432.641,220.66,372.139,7.79801E-06,0.00956441
43.4191,0,63.9764,-0.0023842,18.47,517.885,227.218,465.379,7.87649E-06,0.00956769
34.3741,0,67.9905,0.00238419,15.2767,625.807,234.528,580.2,7.98014E-06,0.00956185
27.2134,0,71.3552,0.00238419,12.4428,766.591,245.08,726.36,8.05167E-06,0.0095397
21.5443,0,74.1756,-0.0023842,10.0864,946.644,258.14,910.768,8.11109E-06,0.00954891
17.0563,0,76.3724,-0.00715259,8.17367,1169.49,275.543,1136.57,8.20997E-06,0.00955931
13.5031,0,78.2144,-0.0023842,6.59505,1449.28,296.014,1418.72,8.30783E-06,0.00955818
10.6902,0,79.6572,-0.0023842,5.30366,1803.98,323.882,1774.67,8.38915E-06,0.00956758
8.46323,0,80.8566,-0.0023842,4.2586,2246.35,356.959,2217.81,8.4793E-06,0.00956575
6.70019,0,81.797,-0.0023842,3.41436,2801.93,399.781,2773.27,8.56528E-06,0.00956668
5.30442,0,82.4619,-0.0023842,2.74146,3490.19,457.86,3460.03,8.67167E-06,0.00956809
4.19941,0,83.1636,-0.0023842,2.19725,4359.08,518.882,4328.09,8.7566E-06,0.00957631
3.3246,0,83.65,-0.0023842,1.76177,5437.61,601.409,5404.25,8.8582E-06,0.00957731
2.63202,0,84.2091,-0.0023842,1.40688,6797.49,685.85,6762.8,8.94136E-06,0.00955875
2.08373,0,84.45,-0.0023842,1.13145,8458.34,818.045,8418.69,9.07266E-06,0.00956438
1.64965,0,84.8213,-0.0023842,0.944114,10566.1,953.716,10522.9,9.16836E-06,0.00996297
1.306,0,85.057,0.00238419,0.754666,13219.5,1139.04,13170.3,0.000009253,0.00995941
1.03393,0,85.2856,0.00238419,0.604408,16530.5,1358.61,16474.5,9.3436E-06,0.00996111
0.818547,0,85.3888,0.00238419,0.48394,20690.8,1663.4,20623.9,9.42772E-06,0.00996893
0.648029,0,85.5698,-0.0023842,0.386563,25869.7,1998.31,25792.4,9.52212E-06,0.00996393
0.513033,0,85.6714,0.00238419,0.309154,32409.9,2446.21,32317.4,9.59927E-06,0.00996093
0.406159,0,85.6617,-0.0023842,0.248539,40493,3063.1,40376.9,9.7049E-06,0.00996772
0.321548,0,85.6414,0.00238419,0.198492,50942.4,3871.59,50795.1,9.74433E-06,0.00996996
0.254564,0,85.6449,-0.0023842,0.159078,63736,4839.95,63551.9,9.83771E-06,0.00994348
0.201534,0,85.6475,-0.0023842,0.127878,80227.7,6088.71,79996.4,9.87193E-06,0.00994984
0.159551,0,85.6255,0.00238419,0.103611,100715,7682.07,100422,9.93329E-06,0.00995506
0.126313,0,85.5433,-0.0023842,0.0841871,127229,9886.51,126844,9.93345E-06,0.00995772
0.1,0,85.3943,-0.0023842,0.0693812,159866,12836.8,159350,9.98778E-06,0.00996298
