t,vTotal,vCpe,i
sec,V,V,A
0,0,0,0
0.01,0.0001,12.784266853336,-1.2784166853336
0.02,0.0002,104743001.93607,-10474300.193587
0.03,0.0003,8.581780185271E+14,-85817801852710
0.04,0.0004,7.0312049289359E+21,-7.0312049289359E+20
0.05,0.0005,5.7607910812657E+28,-5.7607910812657E+27
0.06,0.0006,4.7199184517316E+35,-4.7199184517316E+34
0.07,0.0007,3.8671130191553E+42,-3.8671130191553E+41
0.08,0.0008,3.1683943813551E+49,-3.1683943813551E+48
0.09,0.0009,2.5959217912889E+56,-2.5959217912889E+55
0.1,0.001,2.1268848304189E+63,-2.1268848304189E+62
0.11,0.0011,1.7425945176954E+70,-1.7425945176954E+69
0.12,0.0012,1.4277386390047E+77,-1.4277386390047E+76
0.13,0.0013,1.1697716253595E+84,-1.1697716253595E+83
0.14,0.0014,9.5841466926332E+90,-9.5841466926332E+89
0.15,0.0015,7.8524616116998E+97,-7.8524616116998E+96
0.16,0.0016,6.4336612679995E+104,-6.4336612679995E+103
0.17,0.0017,5.2712129467382E+111,-5.2712129467382E+110
0.18,0.0018,4.3187983905935E+118,-4.3187983905935E+117
0.19,0.0019,3.5384682286712E+125,-3.5384682286712E+124
0.2,0.002,2.8991298673692E+132,-2.8991298673692E+131
0.21,0.0021,2.3753085925059E+139,-2.3753085925059E+138
0.22,0.0022,1.9461325182898E+146,-1.9461325182898E+145
0.23,0.0023,1.5945009379811E+153,-1.5945009379811E+152
0.24,0.0024,1.3064029388177E+160,-1.3064029388177E+159
0.25,0.0025,1.0703591311225E+167,-1.0703591311225E+166
0.26,0.0026,8.7696424704479E+173,-8.7696424704479E+172
0.27,0.0027,7.1851238358503E+180,-7.1851238358503E+179
0.28,0.0028,5.8868995754929E+187,-5.8868995754929E+186
0.29,0.0029,4.8232413808965E+194,-4.8232413808965E+193
0.3,0.003,3.9517673301645E+201,-3.9517673301645E+200
0.31,0.0031,3.2377531619312E+208,-3.2377531619312E+207
0.32,0.0032,2.6527486721136E+215,-2.6527486721136E+214
0.33,0.0033,2.173444103195E+222,-2.173444103195E+221
