time /s	I /mA	E /V
1.0000000E-02	-1.3687E-03	-1.9990E-01
2.0000000E-02	-4.0969E-03	-1.3939E-01
4.0000000E-02	-5.0317E-03	-8.8724E-02
6.0000000E-02	-4.3621E-03	-5.6176E-02
8.0000000E-02	-1.9461E-03	-4.7109E-02
1.0000000E-01	2.0550E-03	-6.2794E-02
1.2000000E-01	3.6813E-03	-1.0036E-01
1.4000000E-01	3.1465E-03	-1.5358E-01
1.6000000E-01	3.4325E-03	-2.1366E-01
1.8000000E-01	3.1504E-03	-2.7038E-01
2.0000000E-01	3.0964E-03	-3.1439E-01
2.2000000E-01	1.5310E-03	-3.3815E-01
2.4000000E-01	-1.2185E-03	-3.3754E-01
2.6000000E-01	-3.8907E-03	-3.1283E-01
2.8000000E-01	-5.7272E-03	-2.6765E-01
3.0000000E-01	-7.3376E-03	-2.0950E-01
3.2000000E-01	-7.6301E-03	-1.4802E-01
3.4000000E-01	-6.3716E-03	-9.2901E-02
3.6000000E-01	-7.7015E-03	-5.3074E-02
3.8000000E-01	-4.2035E-03	-3.5432E-02
4.0000000E-01	2.7648E-04	-4.2508E-02
4.2000000E-01	4.2870E-03	-7.2986E-02
4.4000000E-01	5.3785E-03	-1.2163E-01
4.6000000E-01	6.2663E-03	-1.8045E-01
4.8000000E-01	5.1545E-03	-2.3940E-01
5.0000000E-01	4.8000E-03	-2.8886E-01
5.2000000E-01	3.2624E-03	-3.2043E-01
5.4000000E-01	7.7662E-04	-3.2860E-01
5.6000000E-01	-2.6089E-03	-3.1211E-01
5.8000000E-01	-5.1894E-03	-2.7347E-01
6.0000000E-01	-7.2816E-03	-2.1890E-01
6.2000000E-01	-9.9405E-03	-1.5743E-01
6.4000000E-01	-1.0808E-02	-9.8836E-02
6.6000000E-01	-8.9114E-03	-5.2826E-02
6.8000000E-01	-6.6372E-03	-2.6841E-02
7.0000000E-01	-2.0676E-03	-2.5168E-02
7.2000000E-01	2.4991E-03	-4.7832E-02
7.4000000E-01	5.9054E-03	-9.0918E-02
7.6000000E-01	6.9766E-03	-1.4727E-01
7.8000000E-01	5.1376E-03	-2.0724E-01
8.0000000E-01	4.8223E-03	-2.6116E-01
8.2000000E-01	4.9502E-03	-2.9981E-01
8.4000000E-01	3.2268E-03	-3.1669E-01
8.6000000E-01	1.9321E-04	-3.0868E-01
8.8000000E-01	-3.7519E-03	-2.7727E-01
9.0000000E-01	-6.1971E-03	-2.2742E-01
9.2000000E-01	-8.9560E-03	-1.6729E-01
9.4000000E-01	-9.5295E-03	-1.0656E-01
9.6000000E-01	-9.1538E-03	-5.5094E-02
9.8000000E-01	-6.6938E-03	-2.1375E-02
1.0000000E+00	-3.3494E-03	-1.0832E-02
1.0200000E+00	1.6753E-03	-2.5304E-02
1.0400000E+00	5.0464E-03	-6.1799E-02
1.0600000E+00	5.1688E-03	-1.1444E-01
1.0800000E+00	6.9176E-03	-1.7433E-01
1.1000000E+00	6.5027E-03	-2.3139E-01
1.1200000E+00	5.6159E-03	-2.7645E-01
1.1400000E+00	4.1319E-03	-3.0151E-01
1.1600000E+00	7.7860E-04	-3.0236E-01
1.1800000E+00	-2.8522E-03	-2.7879E-01
1.2000000E+00	-5.6370E-03	-2.3457E-01
1.2200000E+00	-8.1967E-03	-1.7703E-01
1.2400000E+00	-9.1702E-03	-1.1535E-01
1.2600000E+00	-9.6252E-03	-5.9584E-02
1.2800000E+00	-7.6811E-03	-1.8852E-02
1.3000000E+00	-5.0367E-03	1.7545E-04
1.3200000E+00	-2.2118E-04	-5.4580E-03
1.3400000E+00	4.0288E-03	-3.4663E-02
1.3600000E+00	6.8259E-03	-8.2591E-02
1.3800000E+00	6.9330E-03	-1.4100E-01
1.4000000E+00	7.0093E-03	-2.0028E-01
1.4200000E+00	5.9798E-03	-2.5057E-01
1.4400000E+00	4.6201E-03	-2.8329E-01
1.4600000E+00	2.3544E-03	-2.9295E-01
1.4800000E+00	-1.1382E-03	-2.7771E-01
1.5000000E+00	-4.6823E-03	-2.4013E-01
1.5200000E+00	-7.0164E-03	-1.8627E-01
1.5400000E+00	-1.0296E-02	-1.2487E-01
1.5600000E+00	-9.4973E-03	-6.5935E-02
1.5800000E+00	-8.5516E-03	-1.8980E-02
1.6000000E+00	-7.0115E-03	8.2125E-03
1.6200000E+00	-2.0958E-03	1.1424E-02
1.6400000E+00	2.9997E-03	-9.9730E-03
1.6600000E+00	5.6754E-03	-5.2017E-02
1.6800000E+00	6.8834E-03	-1.0776E-01
1.7000000E+00	6.9840E-03	-1.6796E-01
1.7200000E+00	6.1448E-03	-2.2240E-01
1.7400000E+00	5.0915E-03	-2.6221E-01
1.7600000E+00	2.9898E-03	-2.8030E-01
1.7800000E+00	-2.3209E-04	-2.7381E-01
1.8000000E+00	-3.7207E-03	-2.4364E-01
1.8200000E+00	-6.1252E-03	-1.9473E-01
1.8400000E+00	-7.5285E-03	-1.3482E-01
1.8600000E+00	-8.6532E-03	-7.3835E-02
1.8800000E+00	-9.3476E-03	-2.1721E-02
1.9000000E+00	-7.5785E-03	1.3228E-02
1.9200000E+00	-3.9056E-03	2.5115E-02
1.9400000E+00	1.4473E-03	1.2175E-02
1.9600000E+00	5.2010E-03	-2.3157E-02
1.9800000E+00	6.5657E-03	-7.5094E-02
2.0000000E+00	6.5825E-03	-1.3484E-01
2.0200000E+00	6.8056E-03	-1.9245E-01
2.0400000E+00	5.4132E-03	-2.3825E-01
2.0600000E+00	4.1690E-03	-2.6464E-01
2.0800000E+00	1.6500E-03	-2.6706E-01
2.1000000E+00	-2.2555E-03	-2.4483E-01
2.1200000E+00	-5.7193E-03	-2.0153E-01
2.1400000E+00	-7.5434E-03	-1.4461E-01
2.1600000E+00	-8.5833E-03	-8.2833E-02
2.1800000E+00	-9.4978E-03	-2.6473E-02
2.2000000E+00	-9.8681E-03	1.5409E-02
2.2200000E+00	-6.5366E-03	3.5800E-02
2.2400000E+00	-7.4412E-04	3.1511E-02
2.2600000E+00	4.2211E-03	3.3966E-03
2.2800000E+00	6.4546E-03	-4.3479E-02
2.3000000E+00	7.7478E-03	-1.0153E-01
2.3200000E+00	7.2814E-03	-1.6105E-01
2.3400000E+00	6.5002E-03	-2.1206E-01
2.3600000E+00	5.3691E-03	-2.4603E-01
2.3800000E+00	2.9056E-03	-2.5711E-01
2.4000000E+00	-6.1921E-04	-2.4323E-01
2.4200000E+00	-4.5306E-03	-2.0682E-01
2.4400000E+00	-6.7146E-03	-1.5371E-01
2.4600000E+00	-7.9880E-03	-9.2655E-02
2.4800000E+00	-1.1644E-02	-3.3060E-02
2.5000000E+00	-1.0453E-02	1.4763E-02
2.5200000E+00	-8.3582E-03	4.3319E-02
2.5400000E+00	-3.2225E-03	4.7816E-02
2.5600000E+00	2.4763E-03	2.7865E-02
2.5800000E+00	5.9317E-03	-1.3183E-02
2.6000000E+00	6.9027E-03	-6.8353E-02
