time /s	I /mA	E /V
1.0000000E-02	-1.5203E-02	-1.9995E-01
2.0000000E-02	-4.5330E-03	-1.3969E-01
3.0000000E-02	3.4336E-04	-8.9114E-02
4.0000000E-02	1.8937E-03	-5.6434E-02
5.0000000E-02	8.7849E-04	-4.7433E-02
6.0000000E-02	-1.9291E-03	-6.2758E-02
7.0000000E-02	-5.9159E-03	-1.0037E-01
8.0000000E-02	-1.0325E-02	-1.5365E-01
9.0000000E-02	-1.5116E-02	-2.1363E-01
1.0000000E-01	-1.9535E-02	-2.7028E-01
1.1000000E-01	-2.1723E-02	-3.1424E-01
1.2000000E-01	-2.0108E-02	-3.3795E-01
1.3000000E-01	-1.5149E-02	-3.3759E-01
1.4000000E-01	-8.5924E-03	-3.1293E-01
1.5000000E-01	-2.0484E-03	-2.6795E-01
1.6000000E-01	3.3597E-03	-2.1002E-01
1.7000000E-01	7.5087E-03	-1.4840E-01
1.8000000E-01	9.7796E-03	-9.3099E-02
1.9000000E-01	1.0177E-02	-5.3434E-02
2.0000000E-01	8.3669E-03	-3.5760E-02
2.1000000E-01	4.7669E-03	-4.2784E-02
2.2000000E-01	1.6958E-04	-7.3091E-02
2.3000000E-01	-4.5727E-03	-1.2133E-01
2.4000000E-01	-9.2726E-03	-1.8033E-01
2.5000000E-01	-1.3345E-02	-2.3927E-01
2.6000000E-01	-1.6011E-02	-2.8860E-01
2.7000000E-01	-1.6293E-02	-3.2025E-01
2.8000000E-01	-1.3275E-02	-3.2859E-01
2.9000000E-01	-8.0348E-03	-3.1227E-01
3.0000000E-01	-2.0633E-03	-2.7363E-01
3.1000000E-01	3.2887E-03	-2.1934E-01
3.2000000E-01	7.5727E-03	-1.5773E-01
3.3000000E-01	1.0375E-02	-9.9113E-02
3.4000000E-01	1.1416E-02	-5.3151E-02
3.5000000E-01	1.0376E-02	-2.7128E-02
3.6000000E-01	7.2639E-03	-2.5473E-02
3.7000000E-01	2.8449E-03	-4.7762E-02
3.8000000E-01	-1.9430E-03	-9.0725E-02
3.9000000E-01	-6.5943E-03	-1.4700E-01
4.0000000E-01	-1.0748E-02	-2.0699E-01
4.1000000E-01	-1.3828E-02	-2.6094E-01
4.2000000E-01	-1.5003E-02	-2.9959E-01
4.3000000E-01	-1.3300E-02	-3.1656E-01
4.4000000E-01	-8.8977E-03	-3.0860E-01
4.5000000E-01	-3.4478E-03	-2.7765E-01
4.6000000E-01	2.0821E-03	-2.2765E-01
4.7000000E-01	6.5809E-03	-1.6773E-01
4.8000000E-01	9.9317E-03	-1.0677E-01
4.9000000E-01	1.1591E-02	-5.5443E-02
5.0000000E-01	1.1324E-02	-2.1816E-02
5.1000000E-01	8.9537E-03	-1.1126E-02
5.2000000E-01	4.8755E-03	-2.5461E-02
5.3000000E-01	8.4111E-05	-6.1745E-02
5.4000000E-01	-4.6239E-03	-1.1433E-01
5.5000000E-01	-8.8562E-03	-1.7396E-01
5.6000000E-01	-1.2242E-02	-2.3131E-01
5.7000000E-01	-1.4103E-02	-2.7628E-01
5.8000000E-01	-1.3479E-02	-3.0126E-01
5.9000000E-01	-1.0057E-02	-3.0225E-01
6.0000000E-01	-4.8924E-03	-2.7896E-01
6.1000000E-01	5.0934E-04	-2.3500E-01
6.2000000E-01	5.3021E-03	-1.7734E-01
6.3000000E-01	9.0675E-03	-1.1577E-01
6.4000000E-01	1.1331E-02	-6.0142E-02
6.5000000E-01	1.1906E-02	-1.9134E-02
6.6000000E-01	1.0247E-02	-1.3892E-04
6.7000000E-01	6.7022E-03	-5.4402E-03
6.8000000E-01	2.0412E-03	-3.4761E-02
6.9000000E-01	-2.7315E-03	-8.2413E-02
7.0000000E-01	-7.1043E-03	-1.4069E-01
7.1000000E-01	-1.0744E-02	-1.9999E-01
7.2000000E-01	-1.3089E-02	-2.5025E-01
7.3000000E-01	-1.3428E-02	-2.8293E-01
7.4000000E-01	-1.1067E-02	-2.9295E-01
7.5000000E-01	-6.4435E-03	-2.7794E-01
7.6000000E-01	-1.1089E-03	-2.4033E-01
7.7000000E-01	3.8868E-03	-1.8667E-01
7.8000000E-01	8.0039E-03	-1.2540E-01
7.9000000E-01	1.0790E-02	-6.6456E-02
8.0000000E-01	1.2007E-02	-1.9480E-02
8.1000000E-01	1.1175E-02	7.8311E-03
8.2000000E-01	8.3177E-03	1.1184E-02
8.3000000E-01	3.9532E-03	-1.0131E-02
8.4000000E-01	-8.6772E-04	-5.1759E-02
8.5000000E-01	-5.4582E-03	-1.0771E-01
8.6000000E-01	-9.3270E-03	-1.6762E-01
8.7000000E-01	-1.2080E-02	-2.2228E-01
8.8000000E-01	-1.3162E-02	-2.6197E-01
8.9000000E-01	-1.1819E-02	-2.8031E-01
9.0000000E-01	-7.9604E-03	-2.7394E-01
9.1000000E-01	-2.8042E-03	-2.4397E-01
9.2000000E-01	2.2891E-03	-1.9502E-01
9.3000000E-01	6.7577E-03	-1.3508E-01
9.4000000E-01	1.0095E-02	-7.4093E-02
9.5000000E-01	1.1867E-02	-2.2150E-02
9.6000000E-01	1.1753E-02	1.2833E-02
9.7000000E-01	9.5316E-03	2.4848E-02
9.8000000E-01	5.6401E-03	1.2223E-02
9.9000000E-01	9.3377E-04	-2.3079E-02
1.0000000E+00	-3.7397E-03	-7.5053E-02
1.0100000E+00	-7.8156E-03	-1.3471E-01
1.0200000E+00	-1.1068E-02	-1.9229E-01
1.0300000E+00	-1.2676E-02	-2.3794E-01
1.0400000E+00	-1.2210E-02	-2.6461E-01
1.0500000E+00	-9.1806E-03	-2.6693E-01
1.0600000E+00	-4.4189E-03	-2.4498E-01
1.0700000E+00	6.6944E-04	-2.0202E-01
1.0800000E+00	5.3509E-03	-1.4506E-01
1.0900000E+00	9.0933E-03	-8.3111E-02
1.1000000E+00	1.1458E-02	-2.6808E-02
1.1100000E+00	1.2072E-02	1.4843E-02
1.1200000E+00	1.0597E-02	3.5523E-02
1.1300000E+00	7.2272E-03	3.1540E-02
1.1400000E+00	2.7216E-03	3.5620E-03
1.1500000E+00	-1.9897E-03	-4.3395E-02
1.1600000E+00	-6.3361E-03	-1.0134E-01
1.1700000E+00	-9.7869E-03	-1.6065E-01
1.1800000E+00	-1.2048E-02	-2.1194E-01
1.1900000E+00	-1.2405E-02	-2.4562E-01
1.2000000E+00	-1.0318E-02	-2.5696E-01
1.2100000E+00	-6.0665E-03	-2.4328E-01
1.2200000E+00	-9.7828E-04	-2.0702E-01
1.2300000E+00	3.8349E-03	-1.5407E-01
1.2400000E+00	7.8895E-03	-9.2781E-02
1.2500000E+00	1.0816E-02	-3.3456E-02
1.2600000E+00	1.2052E-02	1.4198E-02
1.2700000E+00	1.1373E-02	4.2807E-02
1.2800000E+00	8.5761E-03	4.7526E-02
1.2900000E+00	4.3996E-03	2.7858E-02
1.3000000E+00	-3.4466E-04	-1.3114E-02
1.3100000E+00	-4.7651E-03	-6.8020E-02
1.3200000E+00	-8.6087E-03	-1.2832E-01
1.3300000E+00	-1.1214E-02	-1.8330E-01
1.3400000E+00	-1.2334E-02	-2.2426E-01
1.3500000E+00	-1.1073E-02	-2.4395E-01
1.3600000E+00	-7.5449E-03	-2.3896E-01
1.3700000E+00	-2.6903E-03	-2.1028E-01
1.3800000E+00	2.2759E-03	-1.6205E-01
1.3900000E+00	6.6186E-03	-1.0272E-01
1.4000000E+00	9.9615E-03	-4.1797E-02
1.4100000E+00	1.1864E-02	1.1181E-02
1.4200000E+00	1.1879E-02	4.7460E-02
1.4300000E+00	9.8100E-03	6.0828E-02
1.4400000E+00	6.0778E-03	4.9540E-02
1.4500000E+00	1.4339E-03	1.5573E-02
1.4600000E+00	-3.2128E-03	-3.5715E-02
1.4700000E+00	-7.2042E-03	-9.5005E-02
1.4800000E+00	-1.0355E-02	-1.5332E-01
1.4900000E+00	-1.1940E-02	-1.9994E-01
1.5000000E+00	-1.1603E-02	-2.2759E-01
1.5100000E+00	-8.8692E-03	-2.3162E-01
1.5200000E+00	-4.3248E-03	-2.1064E-01
1.5300000E+00	5.9932E-04	-1.6903E-01
