time /s	I /mA	E /V
1.0000000E-02	-5.7683E-03	-1.0003E-01
2.0000000E-02	-1.7739E-03	-7.2045E-02
3.0000000E-02	4.7998E-04	-4.4747E-02
4.0000000E-02	1.9544E-03	-1.9754E-02
5.0000000E-02	2.8637E-03	2.8919E-03
6.0000000E-02	3.3884E-03	2.2232E-02
7.0000000E-02	3.4675E-03	3.7530E-02
8.0000000E-02	3.3120E-03	4.8220E-02
9.0000000E-02	2.8042E-03	5.3906E-02
1.0000000E-01	2.0965E-03	5.4545E-02
1.1000000E-01	1.2233E-03	5.0229E-02
1.2000000E-01	1.8656E-04	4.1247E-02
1.3000000E-01	-9.7791E-04	2.7249E-02
1.4000000E-01	-2.1015E-03	9.5560E-03
1.5000000E-01	-3.3351E-03	-1.1724E-02
1.6000000E-01	-4.5916E-03	-3.5703E-02
1.7000000E-01	-5.7873E-03	-6.1666E-02
1.8000000E-01	-6.8360E-03	-8.8343E-02
1.9000000E-01	-7.8551E-03	-1.1533E-01
2.0000000E-01	-8.7616E-03	-1.4131E-01
2.1000000E-01	-9.4408E-03	-1.6564E-01
2.2000000E-01	-9.9423E-03	-1.8730E-01
2.3000000E-01	-1.0076E-02	-2.0564E-01
2.4000000E-01	-9.8029E-03	-2.1961E-01
2.5000000E-01	-9.2377E-03	-2.2962E-01
2.6000000E-01	-8.2674E-03	-2.3430E-01
2.7000000E-01	-7.0368E-03	-2.3431E-01
2.8000000E-01	-5.4824E-03	-2.2896E-01
2.9000000E-01	-3.8911E-03	-2.1899E-01
3.0000000E-01	-2.1700E-03	-2.0433E-01
3.1000000E-01	-4.6168E-04	-1.8566E-01
3.2000000E-01	1.1844E-03	-1.6336E-01
3.3000000E-01	2.6785E-03	-1.3839E-01
3.4000000E-01	4.0446E-03	-1.1141E-01
3.5000000E-01	5.2495E-03	-8.3430E-02
3.6000000E-01	6.2608E-03	-5.5423E-02
3.7000000E-01	7.0161E-03	-2.8100E-02
3.8000000E-01	7.5158E-03	-2.4600E-03
3.9000000E-01	7.7017E-03	2.0507E-02
4.0000000E-01	7.6357E-03	4.0202E-02
4.1000000E-01	7.2285E-03	5.5841E-02
4.2000000E-01	6.6148E-03	6.7191E-02
4.3000000E-01	5.7543E-03	7.3535E-02
4.4000000E-01	4.7534E-03	7.4855E-02
4.5000000E-01	3.4766E-03	7.0856E-02
4.6000000E-01	2.2629E-03	6.2546E-02
4.7000000E-01	9.1206E-04	4.9190E-02
4.8000000E-01	-4.5115E-04	3.1943E-02
4.9000000E-01	-1.8656E-03	1.0916E-02
5.0000000E-01	-3.1358E-03	-1.2726E-02
5.1000000E-01	-4.3818E-03	-3.8350E-02
5.2000000E-01	-5.5696E-03	-6.5356E-02
5.3000000E-01	-6.5821E-03	-9.2322E-02
5.4000000E-01	-7.3739E-03	-1.1831E-01
5.5000000E-01	-8.0260E-03	-1.4297E-01
5.6000000E-01	-8.4352E-03	-1.6500E-01
5.7000000E-01	-8.6048E-03	-1.8362E-01
5.8000000E-01	-8.3940E-03	-1.9829E-01
5.9000000E-01	-7.8840E-03	-2.0860E-01
6.0000000E-01	-7.0872E-03	-2.1398E-01
6.1000000E-01	-6.0244E-03	-2.1463E-01
