time /s	I /mA	E /V
1.0000000E-02	-7.4698E-03	-9.9997E-02
2.0000000E-02	-2.6470E-04	-4.5398E-02
3.0000000E-02	3.1431E-03	1.9025E-03
4.0000000E-02	4.2800E-03	3.5594E-02
5.0000000E-02	3.6119E-03	5.1582E-02
6.0000000E-02	1.6700E-03	4.7244E-02
7.0000000E-02	-1.1811E-03	2.3928E-02
8.0000000E-02	-4.5924E-03	-1.5714E-02
9.0000000E-02	-8.2338E-03	-6.6345E-02
1.0000000E-01	-1.1439E-02	-1.2065E-01
1.1000000E-01	-1.4151E-02	-1.7124E-01
1.2000000E-01	-1.5621E-02	-2.1192E-01
1.3000000E-01	-1.5214E-02	-2.3659E-01
1.4000000E-01	-1.2425E-02	-2.4196E-01
1.5000000E-01	-8.0420E-03	-2.2728E-01
1.6000000E-01	-3.0234E-03	-1.9431E-01
1.7000000E-01	1.5597E-03	-1.4766E-01
1.8000000E-01	5.5324E-03	-9.3410E-02
1.9000000E-01	8.3679E-03	-3.8453E-02
2.0000000E-01	9.8642E-03	9.5388E-03
2.1000000E-01	9.7718E-03	4.4193E-02
2.2000000E-01	8.1959E-03	6.1228E-02
2.3000000E-01	5.3715E-03	5.8214E-02
2.4000000E-01	1.8865E-03	3.5575E-02
2.5000000E-01	-2.0076E-03	-3.0760E-03
2.6000000E-01	-5.7911E-03	-5.3044E-02
2.7000000E-01	-9.1611E-03	-1.0733E-01
2.8000000E-01	-1.1681E-02	-1.5863E-01
2.9000000E-01	-1.3140E-02	-1.9993E-01
3.0000000E-01	-1.2808E-02	-2.2560E-01
3.1000000E-01	-1.0563E-02	-2.3225E-01
3.2000000E-01	-6.6521E-03	-2.1863E-01
3.3000000E-01	-2.1411E-03	-1.8664E-01
3.4000000E-01	2.3258E-03	-1.4071E-01
3.5000000E-01	6.0595E-03	-8.6736E-02
3.6000000E-01	8.9418E-03	-3.1747E-02
3.7000000E-01	1.0435E-02	1.6878E-02
3.8000000E-01	1.0462E-02	5.2556E-02
3.9000000E-01	8.9439E-03	7.0543E-02
4.0000000E-01	6.2592E-03	6.8879E-02
4.1000000E-01	2.6848E-03	4.7572E-02
4.2000000E-01	-1.2459E-03	9.2330E-03
4.3000000E-01	-5.0633E-03	-4.0052E-02
4.4000000E-01	-8.3833E-03	-9.4322E-02
4.5000000E-01	-1.0946E-02	-1.4594E-01
4.6000000E-01	-1.2314E-02	-1.8795E-01
4.7000000E-01	-1.2111E-02	-2.1463E-01
