time /s	I /mA	E /V
1.0000000E-02	-7.5155E-03	-9.9938E-02
2.0000000E-02	-5.1031E-03	-8.5679E-02
3.0000000E-02	-3.4992E-03	-7.1354E-02
4.0000000E-02	-2.2151E-03	-5.7375E-02
5.0000000E-02	-1.2736E-03	-4.3687E-02
6.0000000E-02	-5.2333E-04	-3.0393E-02
7.0000000E-02	9.8129E-05	-1.7724E-02
8.0000000E-02	6.0604E-04	-5.6940E-03
9.0000000E-02	9.8819E-04	5.2729E-03
1.0000000E-01	1.3092E-03	1.5952E-02
1.1000000E-01	1.5265E-03	2.5257E-02
1.2000000E-01	1.6496E-03	3.3597E-02
1.3000000E-01	1.7299E-03	4.0915E-02
1.4000000E-01	1.7772E-03	4.7243E-02
1.5000000E-01	1.7120E-03	5.2303E-02
1.6000000E-01	1.6128E-03	5.5911E-02
1.7000000E-01	1.5249E-03	5.8571E-02
1.8000000E-01	1.3054E-03	5.9924E-02
1.9000000E-01	1.0970E-03	5.9914E-02
2.0000000E-01	8.2631E-04	5.8598E-02
2.1000000E-01	5.6178E-04	5.6277E-02
2.2000000E-01	2.2479E-04	5.2607E-02
2.3000000E-01	-8.9000E-05	4.7611E-02
2.4000000E-01	-4.4386E-04	4.1592E-02
2.5000000E-01	-8.5450E-04	3.4265E-02
2.6000000E-01	-1.2180E-03	2.6244E-02
2.7000000E-01	-1.5801E-03	1.7275E-02
2.8000000E-01	-1.9679E-03	7.3301E-03
2.9000000E-01	-2.3864E-03	-3.3679E-03
3.0000000E-01	-2.7979E-03	-1.5025E-02
3.1000000E-01	-3.1756E-03	-2.7025E-02
3.2000000E-01	-3.5567E-03	-3.9374E-02
3.3000000E-01	-3.9353E-03	-5.2377E-02
3.4000000E-01	-4.2736E-03	-6.5340E-02
3.5000000E-01	-4.6081E-03	-7.8329E-02
3.6000000E-01	-4.9110E-03	-9.1691E-02
3.7000000E-01	-5.1824E-03	-1.0469E-01
3.8000000E-01	-5.4526E-03	-1.1766E-01
3.9000000E-01	-5.6462E-03	-1.3032E-01
4.0000000E-01	-5.8383E-03	-1.4229E-01
4.1000000E-01	-5.9810E-03	-1.5397E-01
4.2000000E-01	-6.0499E-03	-1.6465E-01
4.3000000E-01	-6.1421E-03	-1.7494E-01
4.4000000E-01	-6.1253E-03	-1.8431E-01
4.5000000E-01	-6.0401E-03	-1.9261E-01
4.6000000E-01	-5.9448E-03	-1.9997E-01
4.7000000E-01	-5.8103E-03	-2.0626E-01
4.8000000E-01	-5.5877E-03	-2.1127E-01
4.9000000E-01	-5.3476E-03	-2.1529E-01
5.0000000E-01	-5.1197E-03	-2.1830E-01
5.1000000E-01	-4.7421E-03	-2.1962E-01
5.2000000E-01	-4.4019E-03	-2.1998E-01
5.3000000E-01	-3.9910E-03	-2.1896E-01
5.4000000E-01	-3.5683E-03	-2.1662E-01
5.5000000E-01	-3.1226E-03	-2.1331E-01
5.6000000E-01	-2.6740E-03	-2.0864E-01
5.7000000E-01	-2.1729E-03	-2.0266E-01
5.8000000E-01	-1.6654E-03	-1.9562E-01
5.9000000E-01	-1.1727E-03	-1.8731E-01
6.0000000E-01	-6.4131E-04	-1.7796E-01
6.1000000E-01	-1.5841E-04	-1.6799E-01
