time /s	I /mA	E /V
1.0000000E-02	-1.3441E-02	-1.9996E-01
2.0000000E-02	1.5300E-03	-5.8030E-02
3.0000000E-02	-5.1850E-03	-1.0333E-01
4.0000000E-02	-2.0003E-02	-2.7491E-01
5.0000000E-02	-2.1458E-02	-3.4388E-01
6.0000000E-02	-4.5634E-03	-2.1764E-01
7.0000000E-02	7.6183E-03	-6.2745E-02
8.0000000E-02	1.1460E-03	-8.3675E-02
9.0000000E-02	-1.4215E-02	-2.5158E-01
1.0000000E-01	-1.8530E-02	-3.4258E-01
1.1000000E-01	-4.1156E-03	-2.3493E-01
1.2000000E-01	9.0102E-03	-7.0414E-02
1.3000000E-01	4.5388E-03	-6.6704E-02
1.4000000E-01	-1.0871E-02	-2.2724E-01
1.5000000E-01	-1.7292E-02	-3.3821E-01
1.6000000E-01	-4.7977E-03	-2.5131E-01
1.7000000E-01	9.2704E-03	-8.0397E-02
1.8000000E-01	7.0786E-03	-5.1727E-02
1.9000000E-01	-8.2658E-03	-2.0227E-01
2.0000000E-01	-1.6434E-02	-3.3091E-01
2.1000000E-01	-5.9370E-03	-2.6624E-01
2.2000000E-01	8.8864E-03	-9.2755E-02
2.3000000E-01	8.9857E-03	-4.0065E-02
2.4000000E-01	-5.8284E-03	-1.7658E-01
2.5000000E-01	-1.5638E-02	-3.2053E-01
2.6000000E-01	-7.2864E-03	-2.7958E-01
2.7000000E-01	8.0581E-03	-1.0704E-01
2.8000000E-01	1.0473E-02	-3.1093E-02
2.9000000E-01	-3.5397E-03	-1.5129E-01
3.0000000E-01	-1.4816E-02	-3.0721E-01
3.1000000E-01	-8.6175E-03	-2.9057E-01
3.2000000E-01	6.9391E-03	-1.2270E-01
3.3000000E-01	1.1534E-02	-2.5101E-02
3.4000000E-01	-1.3279E-03	-1.2632E-01
3.5000000E-01	-1.3855E-02	-2.9120E-01
3.6000000E-01	-9.8997E-03	-2.9960E-01
3.7000000E-01	5.6273E-03	-1.3934E-01
3.8000000E-01	1.2248E-02	-2.2420E-02
3.9000000E-01	8.1843E-04	-1.0265E-01
4.0000000E-01	-1.2721E-02	-2.7257E-01
4.1000000E-01	-1.1115E-02	-3.0589E-01
4.2000000E-01	4.0989E-03	-1.5699E-01
4.3000000E-01	1.2661E-02	-2.2767E-02
4.4000000E-01	2.8866E-03	-8.0337E-02
4.5000000E-01	-1.1469E-02	-2.5222E-01
4.6000000E-01	-1.2095E-02	-3.0919E-01
4.7000000E-01	2.4643E-03	-1.7465E-01
