time /s	I /mA	E /V
1.0000000E-02	-9.2239E-03	-9.9971E-02
2.0000000E-02	4.6887E-03	4.4521E-02
3.0000000E-02	-4.0176E-03	-1.8687E-02
4.0000000E-02	-1.9169E-02	-1.9760E-01
5.0000000E-02	-1.7106E-02	-2.3293E-01
6.0000000E-02	1.4003E-03	-7.2715E-02
7.0000000E-02	9.1588E-03	5.2196E-02
8.0000000E-02	-2.9081E-03	-3.7389E-02
9.0000000E-02	-1.7205E-02	-2.1154E-01
1.0000000E-01	-1.2607E-02	-2.1793E-01
1.1000000E-01	4.9390E-03	-4.6438E-02
1.2000000E-01	1.0060E-02	5.6184E-02
1.3000000E-01	-3.8407E-03	-5.7698E-02
1.4000000E-01	-1.6663E-02	-2.2256E-01
1.5000000E-01	-9.3154E-03	-1.9964E-01
1.6000000E-01	7.4807E-03	-2.1080E-02
1.7000000E-01	9.9088E-03	5.6193E-02
1.8000000E-01	-5.2796E-03	-7.8656E-02
1.9000000E-01	-1.6265E-02	-2.2991E-01
2.0000000E-01	-6.4224E-03	-1.7830E-01
2.1000000E-01	9.4320E-03	2.5234E-03
2.2000000E-01	9.1265E-03	5.2200E-02
2.3000000E-01	-6.8692E-03	-1.0030E-01
2.4000000E-01	-1.5618E-02	-2.3355E-01
2.5000000E-01	-3.7257E-03	-1.5465E-01
2.6000000E-01	1.0933E-02	2.3538E-02
2.7000000E-01	7.8652E-03	4.4534E-02
2.8000000E-01	-8.4571E-03	-1.2129E-01
2.9000000E-01	-1.4905E-02	-2.3354E-01
3.0000000E-01	-1.1965E-03	-1.2936E-01
3.1000000E-01	1.2041E-02	4.1823E-02
3.2000000E-01	6.2594E-03	3.3213E-02
3.3000000E-01	-9.9477E-03	-1.4128E-01
3.4000000E-01	-1.3833E-02	-2.2926E-01
3.5000000E-01	1.2733E-03	-1.0270E-01
3.6000000E-01	1.2713E-02	5.6509E-02
3.7000000E-01	4.4709E-03	1.9237E-02
3.8000000E-01	-1.1336E-02	-1.5992E-01
3.9000000E-01	-1.2446E-02	-2.2127E-01
4.0000000E-01	3.5428E-03	-7.5403E-02
4.1000000E-01	1.3015E-02	6.7837E-02
4.2000000E-01	2.4683E-03	2.5981E-03
4.3000000E-01	-1.2463E-02	-1.7623E-01
4.4000000E-01	-1.0726E-02	-2.0925E-01
4.5000000E-01	5.6548E-03	-4.8106E-02
4.6000000E-01	1.2855E-02	7.5492E-02
4.7000000E-01	3.7939E-04	-1.6397E-02
4.8000000E-01	-1.3293E-02	-1.8990E-01
4.9000000E-01	-8.8216E-03	-1.9395E-01
5.0000000E-01	7.5531E-03	-2.1733E-02
5.1000000E-01	1.2329E-02	7.8799E-02
5.2000000E-01	-1.6106E-03	-3.6680E-02
5.3000000E-01	-1.3828E-02	-2.0057E-01
5.4000000E-01	-6.7178E-03	-1.7526E-01
5.5000000E-01	9.2965E-03	3.5578E-03
5.6000000E-01	1.1479E-02	7.8502E-02
5.7000000E-01	-3.6488E-03	-5.7689E-02
5.8000000E-01	-1.4082E-02	-2.0758E-01
5.9000000E-01	-4.5587E-03	-1.5396E-01
6.0000000E-01	1.0772E-02	2.6852E-02
6.1000000E-01	1.0250E-02	7.4163E-02
6.2000000E-01	-5.6142E-03	-7.9306E-02
6.3000000E-01	-1.3958E-02	-2.1123E-01
6.4000000E-01	-2.2713E-03	-1.2999E-01
6.5000000E-01	1.1951E-02	4.7539E-02
6.6000000E-01	8.7063E-03	6.6177E-02
6.7000000E-01	-7.4610E-03	-1.0032E-01
6.8000000E-01	-1.3402E-02	-2.1055E-01
6.9000000E-01	-6.8488E-05	-1.0471E-01
7.0000000E-01	1.2819E-02	6.5514E-02
7.1000000E-01	6.9296E-03	5.4866E-02
7.2000000E-01	-9.0821E-03	-1.2028E-01
7.3000000E-01	-1.2600E-02	-2.0622E-01
7.4000000E-01	2.1290E-03	-7.8043E-02
7.5000000E-01	1.3339E-02	8.0127E-02
7.6000000E-01	4.9407E-03	4.0538E-02
7.7000000E-01	-1.0569E-02	-1.3859E-01
7.8000000E-01	-1.1384E-02	-1.9795E-01
7.9000000E-01	4.2780E-03	-5.0758E-02
8.0000000E-01	1.3492E-02	9.1167E-02
8.1000000E-01	2.9065E-03	2.3934E-02
8.2000000E-01	-1.1715E-02	-1.5456E-01
8.3000000E-01	-9.8570E-03	-1.8561E-01
8.4000000E-01	6.2658E-03	-2.3426E-02
8.5000000E-01	1.3245E-02	9.8503E-02
8.6000000E-01	8.3685E-04	4.9709E-03
8.7000000E-01	-1.2684E-02	-1.6821E-01
8.8000000E-01	-8.0574E-03	-1.6994E-01
8.9000000E-01	8.1048E-03	2.8752E-03
9.0000000E-01	1.2673E-02	1.0148E-01
9.1000000E-01	-1.2979E-03	-1.5357E-02
9.2000000E-01	-1.3269E-02	-1.7856E-01
9.3000000E-01	-6.0649E-03	-1.5129E-01
9.4000000E-01	9.7268E-03	2.7865E-02
9.5000000E-01	1.1738E-02	1.0082E-01
9.6000000E-01	-3.3620E-03	-3.6655E-02
9.7000000E-01	-1.3533E-02	-1.8556E-01
9.8000000E-01	-3.9713E-03	-1.2966E-01
9.9000000E-01	1.1167E-02	5.1158E-02
1.0000000E+00	1.0444E-02	9.6514E-02
1.0100000E+00	-5.3326E-03	-5.7981E-02
1.0200000E+00	-1.3364E-02	-1.8855E-01
1.0300000E+00	-1.7918E-03	-1.0569E-01
1.0400000E+00	1.2278E-02	7.1838E-02
1.0500000E+00	8.8386E-03	8.8190E-02
1.0600000E+00	-7.1830E-03	-7.8959E-02
1.0700000E+00	-1.2873E-02	-1.8793E-01
1.0800000E+00	4.1219E-04	-8.0023E-02
1.0900000E+00	1.3070E-02	8.9486E-02
1.1000000E+00	7.0215E-03	7.6537E-02
1.1100000E+00	-8.8539E-03	-9.8966E-02
1.1200000E+00	-1.2088E-02	-1.8295E-01
1.1300000E+00	2.5355E-03	-5.3398E-02
1.1400000E+00	1.3568E-02	1.0381E-01
1.1500000E+00	5.0679E-03	6.2223E-02
1.1600000E+00	-1.0325E-02	-1.1728E-01
1.1700000E+00	-1.0904E-02	-1.7427E-01
1.1800000E+00	4.6054E-03	-2.6091E-02
1.1900000E+00	1.3654E-02	1.1450E-01
1.2000000E+00	2.9618E-03	4.4908E-02
1.2100000E+00	-1.1515E-02	-1.3325E-01
1.2200000E+00	-9.4019E-03	-1.6193E-01
1.2300000E+00	6.5970E-03	1.2363E-03
1.2400000E+00	1.3411E-02	1.2146E-01
1.2500000E+00	8.4448E-04	2.5937E-02
1.2600000E+00	-1.2424E-02	-1.4658E-01
1.2700000E+00	-7.6244E-03	-1.4594E-01
1.2800000E+00	8.4015E-03	2.7530E-02
1.2900000E+00	1.2767E-02	1.2445E-01
1.3000000E+00	-1.2378E-03	5.6417E-03
1.3100000E+00	-1.3009E-02	-1.5658E-01
1.3200000E+00	-5.6744E-03	-1.2699E-01
1.3300000E+00	1.0005E-02	5.2547E-02
1.3400000E+00	1.1804E-02	1.2350E-01
1.3500000E+00	-3.2894E-03	-1.5673E-02
1.3600000E+00	-1.3253E-02	-1.6324E-01
1.3700000E+00	-3.6034E-03	-1.0532E-01
1.3800000E+00	1.1373E-02	7.5465E-02
1.3900000E+00	1.0484E-02	1.1850E-01
1.4000000E+00	-5.2544E-03	-3.6982E-02
1.4100000E+00	-1.3102E-02	-1.6590E-01
1.4200000E+00	-1.4231E-03	-8.1001E-02
1.4300000E+00	1.2448E-02	9.5805E-02
1.4400000E+00	8.8424E-03	1.1020E-01
1.4500000E+00	-7.1169E-03	-5.7973E-02
1.4600000E+00	-1.2600E-02	-1.6489E-01
1.4700000E+00	6.9703E-04	-5.5380E-02
1.4800000E+00	1.3207E-02	1.1314E-01
1.4900000E+00	6.9875E-03	9.8171E-02
1.5000000E+00	-8.7584E-03	-7.7957E-02
1.5100000E+00	-1.1791E-02	-1.5992E-01
1.5200000E+00	2.8623E-03	-2.8390E-02
1.5300000E+00	1.3650E-02	1.2749E-01
1.5400000E+00	5.0060E-03	8.3548E-02
1.5500000E+00	-1.0222E-02	-9.5965E-02
1.5600000E+00	-1.0574E-02	-1.5091E-01
1.5700000E+00	4.8890E-03	-1.4366E-03
1.5800000E+00	1.3737E-02	1.3778E-01
1.5900000E+00	2.9182E-03	6.6228E-02
1.6000000E+00	-1.1390E-02	-1.1160E-01
1.6100000E+00	-9.1237E-03	-1.3828E-01
1.6200000E+00	6.8272E-03	2.5916E-02
1.6300000E+00	1.3436E-02	1.4447E-01
1.6400000E+00	8.3857E-04	4.7249E-02
1.6500000E+00	-1.2286E-02	-1.2460E-01
1.6600000E+00	-7.3371E-03	-1.2196E-01
1.6700000E+00	8.6083E-03	5.2212E-02
1.6800000E+00	1.2790E-02	1.4711E-01
1.6900000E+00	-1.2647E-03	2.6624E-02
1.7000000E+00	-1.2850E-02	-1.3459E-01
1.7100000E+00	-5.3862E-03	-1.0267E-01
1.7200000E+00	1.0142E-02	7.6825E-02
1.7300000E+00	1.1802E-02	1.4577E-01
1.7400000E+00	-3.3044E-03	5.3141E-03
1.7500000E+00	-1.3071E-02	-1.4092E-01
1.7600000E+00	-3.2940E-03	-8.0650E-02
1.7700000E+00	1.1467E-02	9.9481E-02
1.7800000E+00	1.0447E-02	1.4079E-01
1.7900000E+00	-5.2599E-03	-1.5996E-02
1.8000000E+00	-1.2912E-02	-1.4324E-01
1.8100000E+00	-1.1957E-03	-5.6709E-02
1.8200000E+00	1.2539E-02	1.1979E-01
1.8300000E+00	8.7744E-03	1.3184E-01
1.8400000E+00	-7.1037E-03	-3.7001E-02
1.8500000E+00	-1.2393E-02	-1.4192E-01
1.8600000E+00	9.5968E-04	-3.0745E-02
1.8700000E+00	1.3300E-02	1.3713E-01
1.8800000E+00	6.8894E-03	1.1987E-01
1.8900000E+00	-8.7189E-03	-5.6657E-02
1.9000000E+00	-1.1576E-02	-1.3660E-01
1.9100000E+00	3.0922E-03	-3.7122E-03
1.9200000E+00	1.3692E-02	1.5079E-01
1.9300000E+00	4.9211E-03	1.0483E-01
1.9400000E+00	-1.0164E-02	-7.4601E-02
1.9500000E+00	-1.0392E-02	-1.2763E-01
1.9600000E+00	5.0943E-03	2.3592E-02
1.9700000E+00	1.3792E-02	1.6111E-01
1.9800000E+00	2.8205E-03	8.7545E-02
1.9900000E+00	-1.1332E-02	-9.0278E-02
2.0000000E+00	-8.8860E-03	-1.1463E-01
2.0100000E+00	7.0260E-03	5.0536E-02
2.0200000E+00	1.3463E-02	1.6746E-01
2.0300000E+00	7.5381E-04	6.8270E-02
2.0400000E+00	-1.2205E-02	-1.0292E-01
2.0500000E+00	-7.1123E-03	-9.7965E-02
2.0600000E+00	8.7208E-03	7.6524E-02
2.0700000E+00	1.2798E-02	1.6979E-01
2.0800000E+00	-1.3082E-03	4.7592E-02
